floor,floors_count,rooms_count,total_meters,price,underground,price_per_meter
4,7,2,66.4,8300000,False,125000
8,12,1,38.8,13580000,True,350000
10,12,2,44.0,10800000,True,245455
5,6,1,41.0,28980000,True,706829
15,17,1,36.43,4940000,False,135603
13,14,1,39.0,17600000,True,451282
12,17,2,57.8,27927000,True,483166
2,8,1,42.64,7763465,True,182070
4,26,1,46.0,34000000,True,739130
3,8,2,57.0,46900000,True,822807
4,12,2,55.2,8103360,False,146800
14,24,2,46.0,31000000,True,673913
3,9,1,39.02,17986269,False,460950
4,9,2,47.0,26700000,True,568085
4,19,1,31.8,8840400,True,278000
13,41,1,43.0,23900000,True,555814
9,9,2,60.0,18000000,True,300000
2,7,1,39.4,6304000,False,160000
5,6,1,35.0,10100000,False,288571
2,4,1,31.0,11900000,False,383871
3,22,2,69.09,14529627,False,210300
4,4,2,40.0,11500000,False,287500
9,14,1,38.5,7200000,True,187013
5,6,1,40.0,12000000,False,300000
12,30,2,56.31,21423871,True,380463
2,17,1,35.8,8771000,True,245000
18,22,1,43.0,19200000,True,446512
2,6,2,70.0,31900000,True,455714
18,22,1,43.0,19500000,True,453488
44,44,2,86.3,38000000,True,440324
9,9,2,55.0,5499000,False,99982
5,9,2,83.43,29041983,True,348100
19,44,2,64.9,21900000,True,337442
1,4,2,146.56,45908280,False,313239
22,32,1,37.35,17780000,True,476037
3,8,2,55.5,24000000,True,432432
11,24,2,73.2,7832400,False,107000
27,28,2,57.8,33450000,True,578720
15,22,1,30.6,13600000,True,444444
5,10,1,48.5,23500000,True,484536
1,5,2,44.6,4100000,False,91928
2,16,1,26.7,3650200,False,136712
1,10,1,31.0,14500000,True,467742
13,17,2,67.7,27700000,True,409158
2,5,2,61.01,20053987,True,328700
2,8,2,71.47,7100000,False,99342
15,20,2,79.4,29870000,True,376196
3,5,2,71.3,39950000,False,560309
5,24,1,39.1,19800000,True,506394
3,25,2,64.3,50154000,True,780000
6,9,2,47.0,13300000,True,282979
9,10,1,44.0,8500000,False,193182
12,19,2,84.0,59000000,True,702381
9,10,2,90.0,79990000,True,888778
24,42,2,43.0,21606000,True,502465
4,23,1,41.8,20850000,True,498804
10,22,1,37.8,10128000,False,267937
18,79,2,71.8,48000000,True,668524
5,18,2,39.9,22500000,True,563910
6,17,1,43.4,19100000,True,440092
11,20,1,44.0,22490000,True,511136
7,30,2,59.88,10036607,False,167612
6,13,2,120.2,90150000,True,750000
4,8,2,46.8,24390000,True,521154
12,22,2,52.0,19900000,True,382692
4,8,2,64.0,39900000,True,623438
12,14,1,31.0,10900000,False,351613
9,20,1,39.74,16802072,True,422800
4,23,2,90.6,45000000,True,496689
19,41,2,71.0,46500000,True,654930
3,21,2,59.6,23207346,True,389385
27,39,2,63.88,32990000,True,516437
4,10,2,88.0,74000000,True,840909
4,5,1,40.17,14461200,True,360000
11,13,2,81.9,43500000,True,531136
4,11,2,85.3,77775516,True,911788
16,46,2,59.1,23500000,True,397631
7,9,2,73.9,9200000,False,124493
2,8,1,42.78,4962480,False,116000
5,10,2,56.0,15200000,False,271429
2,4,2,77.0,19120000,False,248312
4,22,2,66.0,34500000,True,522727
14,41,2,48.0,31500000,True,656250
3,36,2,68.6,48137992,True,701720
2,10,1,46.7,14477000,True,310000
3,30,1,40.27,7438594,False,184718
7,9,2,78.0,19800000,False,253846
1,25,1,30.4,7800000,True,256579
19,32,1,32.2,25000000,True,776398
5,8,2,44.6,7763000,True,174058
7,21,2,62.0,30000000,True,483871
4,11,1,52.4,19900000,True,379771
4,5,2,41.0,18950000,True,462195
2,10,2,43.53,9289302,False,213400
10,12,2,65.0,17200000,False,264615
1,9,2,48.0,14900000,True,310417
8,13,2,64.0,37645480,True,588211
